Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14
1.653392209,0.345663274,0.282103418,1.195954132,0.408384127,0.967316346,1.136143004,1.128018076,0.82454879,1.385026497,1.281646223,1.060862317,0.891831688,0.975335037,1.00779121
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
0.803695376,0.671739709,0.81331479,0.706589031,0.963060279,0.708129503,0.726355947,0.714335128,0.617988931,0.694905035,0.67561745,0.660641833,0.552779238,0.510263176,0.585428827
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
0.678859476,0.562353428,0.501023677,0.446068442,0.758951756,0.652205706,0.741858754,0.744014925,0.809661027,0.783028562,0.750129182,0.843272536,0.88192415,0.906826909,0.902450869
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
0.539004218,0.634427894,0.946695309,0.796937466,0.793886569,0.559306501,0.804223915,0.564351416,0.622125198,0.706964958,0.549653905,0.659848537,0.519786875,0.537848504,0.635254494
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1.653392209,0.345663274,0.282103418,1.195954132,0.408384127,0.967316346,1.136143004,1.128018076,0.82454879,1.385026497,1.281646223,1.060862317,0.891831688,0.975335037,1.00779121
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
0.803695376,0.671739709,0.81331479,0.706589031,0.963060279,0.708129503,0.726355947,0.714335128,0.617988931,0.694905035,0.67561745,0.660641833,0.552779238,0.510263176,0.585428827
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
1,1.00340196,0.991924317,0.997284116,0.986495329,0.995830112,1.001375296,1.025469792,0.997774251,1.012477538,1.007135521,0.998845076,0.992487125,0.99628582,1.002925958
